id_company,date,id_vehicle,prev_date,next_date,duration,activity_start_date,id_onboard_computer,id_devixe,id_activity_group,id_activity,id_cost_center,id_role,id_vehicle_operator,id_structure_cr,id_workfront,id_eletronic_fence,id_implement,id_implement_type,id_workflow,post_process_type,id_package_rule,id_package_rule_structure,id_service_order,service_order_code,id_season,gps_position,altitude,direction,gps_satellites_quantity,gps_sync,signal_rtk,signal_strength_3g,signal_strength_wifi,snapshot_id,speed,productive_hectar,area_sensor,engine_on_sensor,torque_sensor,speed_avg_sensor
50115,2024-07-02 02:59:48.068 -0300,58333,2024-07-02 02:58:48.048 -0300,2024-07-02 03:00:48.071 -0300,00:01:00.003,2024-07-01 16:26:16.268 -0300,25650,null,50404,55536,991,51057,142622,0,0,0,69308,272,0,null,null,null,0,0,362,(-44.9865165.-19.252804666666666),688,1.650.083.465.576,12,true,null,49,0,710892,0.002781988,0.0000000000,null,null,null,
50115,2024-07-02 02:59:47.658 -0300,58293,2024-07-02 02:59:28.145 -0300,2024-07-02 03:00:00.101 -0300,00:00:12.443,2024-07-02 02:59:17.602 -0300,25260,null,50405,53401,984,51968,141175,2245031,1316,0,40365,169,1475,null,null,null,0,0,362,(-44.989437.-19.247625833333334),688,3.072.189.636.230,12,true,null,67,60,631440,0.985082924,0.0000000000,null,null,null,
50115,2024-07-02 02:59:47.086 -0300,58330,2024-07-02 02:58:47.076 -0300,2024-07-02 03:00:47.104 -0300,00:01:00.018,2024-07-02 02:52:45.563 -0300,25569,null,50403,56338,1149,51867,115795,2245103,1145,0,0,0,1405,null,null,75,0,0,362,(-44.9758745.-19.281870333333334),664,210.864.009.857,12,true,null,80,0,307124,38,135.639.298.830,null,null,null,
50115,2024-07-02 02:59:45.639 -0300,58302,2024-07-02 02:59:35.639 -0300,2024-07-02 02:59:55.677 -0300,00:00:10.038,2024-07-02 02:56:20.196 -0300,25500,null,50403,52393,984,50742,148221,1859658,580,0,40151,152,709,null,null,null,0,-1,362,(-44.9203615.-19.330633),691,3.538.479.614.258,12,true,null,96,0,369771,15,0.0000000000,0.0000000000,0.0000000000,null,15
50115,2024-07-02 02:59:45.502 -0300,58368,2024-07-02 02:58:57.087 -0300,2024-07-02 03:00:46.052 -0300,00:01:00.55,2024-07-02 02:59:45.502 -0300,290140,null,50406,52465,984,50741,141203,2244912,1316,0,0,0,0,1,421930,null,0,0,362,(-44.993080166666665.-19.249178166666667),686,1.597.304.229.736,8,true,null,100,0,365560,0.800429106,0.0000000000,null,null,null,
50115,2024-07-02 02:59:44.615 -0300,58371,2024-07-02 02:59:32.692 -0300,2024-07-02 02:59:57.164 -0300,00:00:12.549,2024-07-02 02:54:14.108 -0300,25717,null,50403,52433,984,50741,148356,1859656,580,0,81100,435,710,null,null,null,0,0,362,(-44.923519166666665.-19.3257405),691,3.557.763.671.875,12,true,null,86,0,948811,15,0.0000000000,null,null,null,
50115,2024-07-02 02:59:44.561 -0300,58346,2024-07-02 02:58:44.557 -0300,2024-07-02 03:00:44.566 -0300,00:01:00.005,2024-07-01 06:40:10.506 -0300,25718,null,0,0,1225,53489,0,0,1180,0,0,0,0,null,null,null,0,0,362,(-44.99450383333333.-19.404803666666666),728,0.0000000000,12,true,null,100,0,551715,0.020063333,0.0000000000,null,null,null,
50115,2024-07-02 02:59:44.048 -0300,58294,2024-07-02 02:58:44.041 -0300,2024-07-02 03:00:44.063 -0300,00:01:00.015,2024-07-02 02:54:42.538 -0300,25558,null,50404,52492,984,51968,148398,2244904,0,0,0,0,1475,null,null,null,0,-1,362,(-44.982163166666666.-19.409539),7.229.000.000.000,710.980.606.079,12,true,null,68,0,55550,0.03533978,0.0000000000,null,null,null,
50115,2024-07-02 02:59:43.788 -0300,58366,2024-07-02 02:59:28.729 -0300,2024-07-02 03:00:00.193 -0300,00:00:16.405,2024-07-02 02:59:28.729 -0300,290137,null,50403,52991,984,51583,128083,2244955,1316,0,0,0,1224,null,null,null,0,0,362,(-44.974350333333334.-19.4178045),7.064.000.000.000,1.354.538.269.043,12,true,null,86,69,384429,0.995170653,0.0000000000,0.0000000000,0.0000000000,null,10
50115,2024-07-02 02:59:43.755 -0300,58286,2024-07-02 02:59:30.078 -0300,2024-07-02 02:59:59.078 -0300,00:00:15.323,2024-07-02 02:54:29.056 -0300,25483,null,50403,53050,984,51968,141676,2245037,581,0,0,0,1475,null,null,null,0,0,362,(-44.99584333333333.-19.245317166666666),6.989.000.000.000,2.808.382.263.184,12,true,null,73,69,691759,11,0.0000000000,0.0000000000,0.0000000000,null,12
50115,2024-07-02 02:59:43.069 -0300,58291,2024-07-02 02:59:28.098 -0300,2024-07-02 02:59:58.634 -0300,00:00:15.565,2024-07-02 02:57:42.564 -0300,25490,null,50403,53050,984,51968,141373,2245037,581,0,0,0,1475,null,null,null,0,0,362,(-45.00424433333333.-19.245803),6.943.000.000.000,2.775.885.009.766,12,true,null,59,56,703161,10,0.0000000000,null,null,null,
50115,2024-07-02 02:59:42.655 -0300,58365,2024-07-02 02:59:14.112 -0300,2024-07-02 02:59:59.670 -0300,00:00:17.015,2024-07-02 02:58:29.651 -0300,290142,null,50403,52991,984,50741,153911,2244955,582,0,0,0,710,null,null,null,0,0,362,(-44.975254166666666.-19.417964166666668),7.076.000.000.000,3.165.140.380.859,12,true,null,86,49,559668,0.787572682,0.0000000000,null,null,null,
50115,2024-07-02 02:59:42.539 -0300,59940,2024-07-02 02:58:42.082 -0300,2024-07-02 03:00:42.953 -0300,00:01:00.414,2024-07-02 00:34:59.492 -0300,24824,null,0,0,1167,51986,153993,0,1045,0,0,0,0,null,null,null,0,0,362,(-44.982209166666664.-19.253744833333332),0.0000000000,0.0000000000,0,false,null,92,0,572715,0,0.0000000000,null,null,null,
50115,2024-07-02 02:59:42.119 -0300,58288,2024-07-02 02:58:42.170 -0300,2024-07-02 03:00:42.571 -0300,00:01:00.452,2024-07-02 02:47:38.509 -0300,25549,null,50404,53250,984,51968,148305,1859656,580,0,77179,169,1475,null,null,61,0,0,362,(-44.91845166666667.-19.3306865),6.885.000.000.000,3.540.050.659.180,12,true,null,20,0,735614,0.00591468,0.0000000000,null,null,null,
50115,2024-07-02 02:59:42.087 -0300,58354,2024-07-02 02:58:41.590 -0300,2024-07-02 03:00:42.598 -0300,00:01:00.511,2024-07-01 15:12:15.271 -0300,25487,null,50404,55536,991,51957,115738,0,880,0,0,0,0,null,null,null,0,0,362,(-44.985996666666665.-19.2529715),6.896.000.000.000,514.265.022.278,12,true,null,88,0,1000302,0.055181298,0.0000000000,null,null,null,
50115,2024-07-02 02:59:42.076 -0300,58369,2024-07-02 02:59:32.246 -0300,2024-07-02 02:59:52.084 -0300,00:00:10.008,2024-07-02 02:51:26.660 -0300,25267,null,50403,52991,984,50741,115721,1859658,580,0,81100,435,710,null,null,null,0,0,362,(-44.9203185.-19.3308555),6.899.000.000.000,3.536.252.136.230,12,true,null,52,69,920378,15,0.0000000000,0.0000000000,0.0000000000,null,15
50115,2024-07-02 02:59:41.591 -0300,58400,2024-07-02 02:58:41.581 -0300,2024-07-02 03:00:42.055 -0300,00:01:00.464,2024-07-02 02:13:28.526 -0300,25129,null,50403,52431,984,50740,115671,1859653,580,66430,0,0,731,null,null,null,0,0,362,(-44.918383166666665.-19.330441666666665),6.849.000.000.000,1.596.996.765.137,9,true,null,52,0,60788,0.029841177,0.0000000000,null,null,null,
50115,2024-07-02 02:59:41.537 -0300,58355,2024-07-02 02:58:41.119 -0300,2024-07-02 03:00:15.509 -0300,00:00:33.972,2024-07-02 01:48:21.506 -0300,290138,null,50404,52492,984,50741,153875,0,582,0,81100,435,710,null,null,null,0,0,362,(-44.981652833333335.-19.409878166666665),7.119.000.000.000,3.176.310.729.980,12,true,null,0,0,500948,0.162424609,0.0000000000,null,null,null,
50115,2024-07-02 02:59:41.074 -0300,59247,2024-07-02 02:59:25.094 -0300,2024-07-02 02:59:55.644 -0300,00:00:14.57,2024-07-02 02:57:24.567 -0300,25556,null,50403,52393,984,50742,153865,2245037,581,0,40151,152,709,null,null,null,0,0,362,(-45.00422183333333.-19.245857333333333),6.875.000.000.000,2.787.769.165.039,12,true,null,75,0,448741,0.939534426,0.0000000000,null,null,null,
50115,2024-07-02 02:59:40.330 -0300,58295,2024-07-02 02:59:21.088 -0300,2024-07-02 02:59:57.089 -0300,00:00:16.759,2024-07-02 02:54:38.628 -0300,25493,null,50403,53398,984,51968,141356,2244955,582,0,0,0,1475,null,null,61,0,0,362,(-44.97745466666667.-19.413372),7.022.000.000.000,1.443.735.961.914,12,true,null,100,0,594150,0.754039049,0.0000000000,null,null,null,
50115,2024-07-02 02:59:39.624 -0300,58349,2024-07-02 02:58:39.592 -0300,2024-07-02 03:00:40.087 -0300,00:01:00.463,2024-07-02 02:57:39.082 -0300,25560,null,50404,53250,984,54408,131295,2713500,582,0,0,0,2668,null,null,null,0,0,362,(-44.99275266666667.-19.249587333333334),6.936.000.000.000,1.263.935.699.463,12,true,null,94,0,535175,0.054990053,0.0000000000,null,null,null,
50115,2024-07-02 02:59:39.585 -0300,62450,2024-07-02 02:59:11.045 -0300,2024-07-02 02:59:48.990 -0300,00:00:09.405,2024-07-02 02:58:49.525 -0300,25141,null,50405,52437,984,50742,115773,1860162,581,0,40151,152,709,null,null,null,0,0,362,(-44.983790166666665.-19.246856833333332),7.013.000.000.000,1.760.597.686.768,9,true,null,47,0,72280,0.735516846,0.0000000000,null,null,null,
50115,2024-07-02 02:59:38.812 -0300,59255,2024-07-02 02:58:38.332 -0300,2024-07-02 03:00:39.339 -0300,00:01:00.527,2024-07-02 02:56:37.841 -0300,25499,null,50403,52433,984,50741,115745,2244955,582,0,0,0,710,null,null,63,0,0,362,(-44.97972866666667.-19.414554333333335),7.118.000.000.000,1.232.540.969.849,12,true,null,65,0,395961,44,0.0000000000,0.0000000000,0.0000000000,null,45
50115,2024-07-02 02:59:38.613 -0300,58303,2024-07-02 02:58:59.602 -0300,2024-07-02 03:00:03.692 -0300,00:00:25.079,2024-07-02 02:58:59.602 -0300,25492,null,50405,52437,984,50742,128077,1859656,580,0,40151,152,709,null,null,62,0,-1,362,(-44.919787166666666.-19.323024833333335),6.935.000.000.000,1.669.592.742.920,12,true,null,68,0,478472,0.122537568,0.0000000000,null,null,null,
50115,2024-07-02 02:59:37.066 -0300,58394,2024-07-02 02:58:36.564 -0300,2024-07-02 03:00:37.069 -0300,00:01:00.003,2024-07-02 02:07:23.514 -0300,25132,null,50403,52431,984,50740,115648,2244918,582,81134,0,0,731,null,null,null,0,0,362,(-44.98625166666667.-19.406122),7.204.000.000.000,3.051.936.645.508,10,true,null,100,0,448967,43,0.0000000000,null,null,null,
